Epoch,Beta
1,-0.13115406036376953
2,-0.5606424808502197
3,-0.9124022722244263
4,-1.1462265253067017
5,-1.0296893119812012
6,-0.7332691550254822
7,-0.3846314549446106
8,-0.027670860290527344
9,0.3693675994873047
10,0.7694894075393677
11,1.2051451206207275
12,1.5597254037857056
13,1.7876338958740234
14,1.9266384840011597
15,2.018324851989746
16,2.0696628093719482
17,2.107588768005371
18,2.131138324737549
19,2.157224416732788
20,2.1695375442504883
21,2.188209295272827
22,2.1957545280456543
23,2.2103123664855957
24,2.2235054969787598
25,2.2321324348449707
26,2.251347303390503
27,2.257370948791504
28,2.2724084854125977
29,2.2832627296447754
30,2.2930235862731934
31,2.2965705394744873
32,2.308957099914551
33,2.3194217681884766
34,2.328397035598755
35,2.337397336959839
36,2.3503594398498535
37,2.356417655944824
38,2.366764545440674
39,2.3765134811401367
40,2.380585193634033
41,2.384124994277954
42,2.395231246948242
43,2.4072117805480957
44,2.406525135040283
45,2.422354221343994
46,2.425255298614502
47,2.4333465099334717
48,2.4375529289245605
49,2.4452133178710938
50,2.4523515701293945
51,2.458740472793579
52,2.463076591491699
53,2.4684600830078125
54,2.4756221771240234
55,2.4817371368408203
56,2.4849886894226074
57,2.489004611968994
58,2.49418306350708
59,2.5030124187469482
60,2.5080478191375732
61,2.5120739936828613
62,2.5245988368988037
63,2.525543689727783
64,2.5322186946868896
65,2.531574249267578
66,2.5339102745056152
67,2.5444154739379883
68,2.5479893684387207
69,2.5482547283172607
70,2.5520622730255127
71,2.55788516998291
72,2.5633578300476074
73,2.568610191345215
74,2.5769872665405273
75,2.5804238319396973
76,2.579829692840576
77,2.5848543643951416
78,2.588651180267334
79,2.592132568359375
80,2.5941295623779297
81,2.5971758365631104
82,2.603335380554199
83,2.601311206817627
84,2.613114833831787
85,2.6148951053619385
86,2.617489814758301
87,2.620594024658203
88,2.6216726303100586
89,2.626920223236084
90,2.6316933631896973
91,2.634246826171875
92,2.636594772338867
93,2.6417250633239746
94,2.6392316818237305
95,2.647108554840088
96,2.6446139812469482
97,2.651400089263916
98,2.6572000980377197
99,2.656651735305786
100,2.6568679809570312
