Epoch,Cooperation Rate
1,0.5
2,0.225
3,0.2
4,0.075
5,0.0
6,0.025
7,0.0
8,0.0
9,0.0
10,0.2
11,0.125
12,0.125
13,0.025
14,0.0
15,0.025
16,0.05
17,0.1
18,0.125
19,0.025
20,0.0
21,0.225
22,0.075
23,0.05
24,0.025
25,0.025
26,0.05
27,0.15
28,0.05
29,0.075
30,0.025
31,0.025
32,0.025
33,0.05
34,0.025
35,0.05
36,0.025
37,0.0
38,0.025
39,0.0
40,0.0
41,0.05
42,0.05
43,0.05
44,0.1
45,0.05
46,0.05
47,0.15
48,0.025
49,0.025
50,0.025
51,0.025
52,0.025
53,0.05
54,0.025
55,0.075
56,0.025
57,0.05
58,0.075
59,0.0
60,0.025
61,0.075
62,0.05
63,0.05
64,0.025
65,0.025
66,0.15
67,0.075
68,0.025
69,0.075
70,0.025
71,0.025
72,0.075
73,0.05
74,0.025
75,0.125
76,0.025
77,0.025
78,0.075
79,0.025
80,0.075
81,0.05
82,0.0
83,0.0
84,0.025
85,0.1
86,0.05
87,0.1
88,0.05
89,0.05
90,0.025
91,0.025
92,0.025
93,0.075
94,0.0
95,0.05
96,0.075
97,0.05
98,0.125
99,0.025
100,0.125
101,0.05
102,0.025
103,0.025
104,0.05
105,0.05
106,0.025
107,0.075
108,0.1
109,0.125
110,0.05
111,0.075
112,0.05
113,0.125
114,0.125
115,0.05
116,0.025
117,0.125
118,0.025
119,0.0
120,0.025
121,0.025
122,0.05
123,0.025
124,0.025
125,0.05
126,0.025
127,0.05
128,0.05
129,0.05
130,0.05
131,0.025
132,0.0
133,0.025
134,0.05
135,0.025
136,0.025
137,0.025
138,0.05
139,0.1
140,0.05
141,0.1
142,0.075
143,0.025
144,0.05
145,0.0
146,0.075
147,0.025
148,0.05
149,0.025
150,0.025
151,0.025
152,0.075
153,0.075
154,0.025
155,0.175
156,0.05
157,0.05
158,0.05
159,0.025
160,0.1
161,0.05
162,0.075
163,0.075
164,0.075
165,0.05
166,0.05
167,0.0
168,0.0
169,0.0
170,0.0
171,0.125
172,0.075
173,0.025
174,0.0
175,0.05
176,0.05
177,0.0
178,0.075
179,0.025
180,0.0
181,0.05
182,0.025
183,0.05
184,0.075
185,0.025
186,0.075
187,0.025
188,0.025
189,0.025
190,0.025
191,0.05
192,0.05
193,0.0
194,0.05
195,0.025
196,0.05
197,0.025
198,0.075
199,0.15
200,0.075
