Epoch,Beta
1,-0.6080526113510132
2,-0.09249627590179443
3,0.4496365785598755
4,1.0339152812957764
5,1.6450881958007812
6,2.179703712463379
7,2.525158405303955
8,2.6969141960144043
9,2.847700595855713
10,2.972081184387207
11,3.0981743335723877
12,3.2192440032958984
13,3.3096981048583984
14,3.3549678325653076
15,3.3864963054656982
16,3.4262776374816895
17,3.466492176055908
18,3.5081303119659424
19,3.5478501319885254
20,3.585484027862549
21,3.6152915954589844
22,3.633884906768799
23,3.6400227546691895
24,3.642098903656006
25,3.64732027053833
26,3.65763783454895
27,3.6631126403808594
28,3.6652541160583496
29,3.6669540405273438
30,3.669001579284668
31,3.673142910003662
32,3.6742143630981445
33,3.6758809089660645
34,3.6766581535339355
35,3.6743874549865723
36,3.669966459274292
37,3.667640209197998
38,3.661620616912842
39,3.65214467048645
40,3.637493848800659
41,3.6209421157836914
42,3.613879680633545
43,3.612100601196289
44,3.607661724090576
45,3.5966711044311523
46,3.5867035388946533
47,3.584333658218384
48,3.596440553665161
49,3.61806583404541
50,3.6403286457061768
51,3.6604671478271484
52,3.67466402053833
53,3.68328857421875
54,3.685107707977295
55,3.686748743057251
56,3.688481330871582
57,3.687150001525879
58,3.687669038772583
59,3.6873059272766113
60,3.684591770172119
61,3.6859846115112305
62,3.6862902641296387
63,3.6834001541137695
64,3.6804652214050293
65,3.678007125854492
66,3.6783928871154785
67,3.675539970397949
68,3.6726741790771484
69,3.668954372406006
70,3.6619300842285156
71,3.650646209716797
72,3.631147861480713
73,3.6096863746643066
74,3.587930202484131
75,3.5567426681518555
76,3.5023193359375
77,3.4019775390625
78,3.24599027633667
79,3.0566561222076416
80,2.8769869804382324
81,2.713613510131836
82,2.552462100982666
83,2.563322067260742
84,2.628612518310547
85,2.597019672393799
86,2.546085834503174
87,2.4526805877685547
88,2.355684757232666
89,2.2391982078552246
90,2.066988945007324
91,1.853107213973999
92,1.5815657377243042
93,1.5141171216964722
94,1.4958083629608154
95,1.4048844575881958
96,1.268187165260315
97,1.2073391675949097
98,1.2081331014633179
99,1.258065104484558
100,1.0861033201217651
