Epoch,Gini Coefficient
1,0.15789473684210525
2,0.047619047619047616
3,1.0
4,0.0
5,1.0
6,0.0
7,0.3333333333333333
8,0.3333333333333333
9,0.42857142857142855
10,0.0
11,1.0
12,0.0
13,0.3333333333333333
14,0.6
15,1.0
16,0.2
17,0.3333333333333333
18,1.0
19,0.0
20,0.0
21,1.0
22,1.0
23,0.3333333333333333
24,0.0
25,1.0
26,0.5
27,0.0
28,1.0
29,1.0
30,0.5
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,0.0
37,0.0
38,0.2
39,1.0
40,0.0
41,1.0
42,0.0
43,1.0
44,0.3333333333333333
45,1.0
46,1.0
47,1.0
48,0.2
49,1.0
50,0.0
51,0.3333333333333333
52,1.0
53,0.0
54,1.0
55,1.0
56,0.0
57,0.5
58,1.0
59,0.0
60,1.0
61,1.0
62,1.0
63,0.0
64,1.0
65,0.3333333333333333
66,0.3333333333333333
67,1.0
68,1.0
69,0.42857142857142855
70,0.0
71,1.0
72,0.0
73,1.0
74,0.0
75,1.0
76,1.0
77,0.3333333333333333
78,0.3333333333333333
79,0.3333333333333333
80,0.3333333333333333
81,1.0
82,1.0
83,0.25
84,1.0
85,0.0
86,1.0
87,0.3333333333333333
88,0.3333333333333333
89,1.0
90,1.0
91,1.0
92,1.0
93,0.0
94,1.0
95,0.0
96,0.0
97,0.0
98,0.0
99,1.0
100,1.0
101,1.0
102,0.0
103,1.0
104,0.0
105,1.0
106,1.0
107,0.3333333333333333
108,0.0
109,0.5
110,0.0
111,1.0
112,1.0
113,0.3333333333333333
114,0.3333333333333333
115,1.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.0
122,0.0
123,0.3333333333333333
124,1.0
125,0.3333333333333333
126,0.5
127,0.0
128,0.3333333333333333
129,0.3333333333333333
130,0.3333333333333333
131,0.3333333333333333
132,0.3333333333333333
133,1.0
134,1.0
135,0.0
136,1.0
137,1.0
138,1.0
139,1.0
140,0.3333333333333333
141,1.0
142,0.6
143,0.0
144,0.3333333333333333
145,0.3333333333333333
146,1.0
147,0.5
148,1.0
149,1.0
150,1.0
151,1.0
152,0.0
153,1.0
154,1.0
155,1.0
156,0.0
157,1.0
158,0.0
159,1.0
160,1.0
161,1.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,1.0
168,0.3333333333333333
169,1.0
170,0.2
171,1.0
172,0.0
173,0.6
174,0.0
175,0.0
176,1.0
177,1.0
178,1.0
179,1.0
180,0.3333333333333333
181,1.0
182,0.5
183,0.5
184,1.0
185,1.0
186,0.0
187,0.5
188,1.0
189,0.0
190,0.0
191,0.0
192,0.0
193,1.0
194,0.0
195,0.0
196,1.0
197,0.0
198,0.3333333333333333
199,1.0
200,1.0
