Epoch,Gini Coefficient
1,0.1
2,0.375
3,0.3333333333333333
4,0.0
5,1.0
6,0.0
7,0.5
8,1.0
9,0.0
10,1.0
11,1.0
12,0.3333333333333333
13,1.0
14,0.3333333333333333
15,1.0
16,0.0
17,1.0
18,0.3333333333333333
19,0.0
20,1.0
21,1.0
22,0.0
23,0.5
24,1.0
25,0.0
26,0.3333333333333333
27,1.0
28,1.0
29,0.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.0
35,1.0
36,0.0
37,1.0
38,0.0
39,0.3333333333333333
40,0.0
41,0.3333333333333333
42,0.0
43,1.0
44,0.0
45,1.0
46,1.0
47,0.0
48,1.0
49,0.5
50,0.3333333333333333
51,0.0
52,0.6666666666666666
53,0.3333333333333333
54,1.0
55,0.3333333333333333
56,0.3333333333333333
57,1.0
58,1.0
59,0.0
60,1.0
61,1.0
62,1.0
63,1.0
64,0.0
65,1.0
66,1.0
67,0.0
68,1.0
69,1.0
70,1.0
71,0.0
72,0.0
73,0.3333333333333333
74,1.0
75,1.0
76,1.0
77,0.0
78,1.0
79,1.0
80,1.0
81,1.0
82,1.0
83,1.0
84,1.0
85,1.0
86,1.0
87,1.0
88,0.0
89,1.0
90,1.0
91,0.6
92,0.0
93,1.0
94,0.3333333333333333
95,1.0
96,0.3333333333333333
97,0.3333333333333333
98,1.0
99,1.0
100,0.6666666666666666
101,0.0
102,0.0
103,0.0
104,1.0
105,0.3333333333333333
106,0.5
107,0.3333333333333333
108,1.0
109,0.0
110,1.0
111,1.0
112,0.3333333333333333
113,1.0
114,1.0
115,0.3333333333333333
116,0.0
117,0.3333333333333333
118,0.0
119,0.0
120,1.0
121,0.0
122,1.0
123,0.0
124,0.0
125,0.3333333333333333
126,1.0
127,0.0
128,1.0
129,0.0
130,1.0
131,0.6
132,0.0
133,0.0
134,0.3333333333333333
135,0.0
136,1.0
137,0.3333333333333333
138,1.0
139,1.0
140,0.0
141,0.0
142,0.0
143,0.3333333333333333
144,0.0
145,1.0
146,1.0
147,0.0
148,0.5
149,1.0
150,1.0
151,0.5
152,0.2
153,1.0
154,1.0
155,1.0
156,0.6
157,0.3333333333333333
158,0.0
159,0.3333333333333333
160,1.0
161,1.0
162,0.0
163,0.3333333333333333
164,0.0
165,1.0
166,1.0
167,1.0
168,1.0
169,1.0
170,1.0
171,1.0
172,1.0
173,0.0
174,1.0
175,1.0
176,1.0
177,1.0
178,1.0
179,1.0
180,1.0
181,1.0
182,1.0
183,0.0
184,1.0
185,1.0
186,1.0
187,0.0
188,1.0
189,1.0
190,1.0
191,1.0
192,0.3333333333333333
193,1.0
194,0.0
195,1.0
196,0.5
197,0.0
198,1.0
199,0.0
200,0.0
