Epoch,Gini Coefficient
1,0.3
2,0.09090909090909091
3,0.0
4,0.25
5,0.0
6,0.07692307692307693
7,0.0
8,0.0
9,1.0
10,0.0
11,1.0
12,0.3333333333333333
13,1.0
14,0.3333333333333333
15,0.0
16,0.0
17,1.0
18,0.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,0.3333333333333333
25,1.0
26,1.0
27,1.0
28,1.0
29,0.5
30,0.3333333333333333
31,0.0
32,0.0
33,1.0
34,1.0
35,0.3333333333333333
36,1.0
37,0.5
38,0.0
39,0.0
40,1.0
41,1.0
42,0.5
43,0.2
44,1.0
45,0.3333333333333333
46,1.0
47,0.0
48,0.3333333333333333
49,0.0
50,0.0
51,0.0
52,0.0
53,0.3333333333333333
54,1.0
55,0.0
56,1.0
57,1.0
58,1.0
59,0.0
60,1.0
61,0.0
62,0.0
63,1.0
64,1.0
65,0.0
66,0.0
67,1.0
68,0.3333333333333333
69,0.0
70,1.0
71,1.0
72,0.0
73,0.3333333333333333
74,0.3333333333333333
75,0.2
76,0.5
77,0.0
78,1.0
79,0.0
80,1.0
81,0.3333333333333333
82,1.0
83,1.0
84,1.0
85,1.0
86,0.0
87,0.3333333333333333
88,0.3333333333333333
89,1.0
90,0.0
91,1.0
92,0.3333333333333333
93,1.0
94,1.0
95,0.0
96,1.0
97,1.0
98,1.0
99,1.0
100,1.0
101,1.0
102,1.0
103,0.0
104,1.0
105,1.0
106,1.0
107,1.0
108,0.3333333333333333
109,0.5
110,1.0
111,0.3333333333333333
112,0.0
113,0.2
114,1.0
115,0.0
116,1.0
117,1.0
118,1.0
119,0.3333333333333333
120,0.3333333333333333
121,1.0
122,0.0
123,0.0
124,1.0
125,0.0
126,0.3333333333333333
127,1.0
128,1.0
129,1.0
130,1.0
131,0.0
132,0.0
133,0.0
134,1.0
135,1.0
136,0.0
137,1.0
138,0.14285714285714285
139,0.0
140,1.0
141,0.2
142,1.0
143,1.0
144,1.0
145,1.0
146,1.0
147,0.3333333333333333
148,0.0
149,0.3333333333333333
150,0.0
151,1.0
152,0.0
153,0.5
154,1.0
155,1.0
156,1.0
157,1.0
158,0.6
159,1.0
160,1.0
161,0.5
162,0.0
163,0.6
164,0.5
165,0.0
166,1.0
167,0.5
168,1.0
169,0.5
170,0.0
171,1.0
172,0.0
173,1.0
174,1.0
175,0.0
176,0.5
177,1.0
178,0.0
179,0.0
180,0.0
181,0.3333333333333333
182,1.0
183,1.0
184,0.0
185,1.0
186,0.3333333333333333
187,0.0
188,0.3333333333333333
189,1.0
190,1.0
191,1.0
192,0.0
193,1.0
194,0.0
195,0.0
196,1.0
197,0.3333333333333333
198,1.0
199,1.0
200,0.0
