Epoch,Beta
1,0.5272579193115234
2,0.8430236577987671
3,1.1397027969360352
4,1.389930248260498
5,1.6059207916259766
6,1.6528832912445068
7,1.6723674535751343
8,1.7359673976898193
9,1.8710869550704956
10,2.059752941131592
11,2.2495412826538086
12,2.4411516189575195
13,2.6159214973449707
14,2.7999215126037598
15,2.987049102783203
16,3.126324415206909
17,3.2319533824920654
18,3.2958996295928955
19,3.3204185962677
20,3.2897722721099854
21,3.173419952392578
22,3.049799919128418
23,2.929539680480957
24,2.836616039276123
25,2.7818334102630615
26,2.7744829654693604
27,2.8036112785339355
28,2.857417583465576
29,2.9313440322875977
30,3.002984046936035
31,3.047605037689209
32,3.0800986289978027
33,3.117985725402832
34,3.171713352203369
35,3.2367820739746094
36,3.2939302921295166
37,3.3662819862365723
38,3.396632194519043
39,3.399747610092163
40,3.3961915969848633
41,3.3864450454711914
42,3.38130521774292
43,3.3758158683776855
44,3.374990224838257
45,3.3874356746673584
46,3.4527974128723145
47,3.5409908294677734
48,3.5888922214508057
49,3.611875057220459
50,3.6242783069610596
51,3.627357006072998
52,3.628284454345703
53,3.6322402954101562
54,3.642242431640625
55,3.6521096229553223
56,3.6600236892700195
57,3.6663901805877686
58,3.6685972213745117
59,3.674467086791992
60,3.6844210624694824
61,3.696593761444092
62,3.7048940658569336
63,3.7133264541625977
64,3.7201881408691406
65,3.7245285511016846
66,3.7254106998443604
67,3.724858283996582
68,3.7232446670532227
69,3.720759153366089
70,3.7171249389648438
71,3.714193105697632
72,3.71087908744812
73,3.699920654296875
74,3.692615032196045
75,3.684568405151367
76,3.677635669708252
77,3.672201156616211
78,3.6681759357452393
79,3.6614246368408203
80,3.656525135040283
81,3.6526565551757812
82,3.6474246978759766
83,3.6446218490600586
84,3.645158290863037
85,3.6459403038024902
86,3.6507582664489746
87,3.650031566619873
88,3.6495609283447266
89,3.6496055126190186
90,3.6468756198883057
91,3.6469101905822754
92,3.6428327560424805
93,3.64068865776062
94,3.6439883708953857
95,3.640778064727783
96,3.63555908203125
97,3.627849817276001
98,3.6162221431732178
99,3.610267162322998
100,3.599407196044922
