Epoch,Beta
1,0.6737339496612549
2,0.4077523946762085
3,0.4638385772705078
4,0.6104165315628052
5,0.8286148309707642
6,1.0669273138046265
7,1.2786895036697388
8,1.4423882961273193
9,1.5781086683273315
10,1.6928541660308838
11,1.789655089378357
12,1.5614509582519531
13,1.2713950872421265
14,1.0015285015106201
15,0.8522963523864746
16,0.8071285486221313
17,0.8173263072967529
18,0.8538520336151123
19,0.8972322940826416
20,0.9655517339706421
21,1.0472369194030762
22,1.1242330074310303
23,1.185694932937622
24,1.2510210275650024
25,1.3267797231674194
26,1.4052796363830566
27,1.4753830432891846
28,1.528855562210083
29,1.5740442276000977
30,1.6209477186203003
31,1.6751271486282349
32,1.7323750257492065
33,1.8214935064315796
34,1.8336290121078491
35,1.693708896636963
36,1.3685500621795654
37,1.0453838109970093
38,0.8481824398040771
39,0.7386994361877441
40,0.6829202175140381
41,0.6525641679763794
42,0.6253623962402344
43,0.6021535396575928
44,0.5762755870819092
45,0.5499637126922607
46,0.5244994163513184
47,0.5220168828964233
48,0.5399543046951294
49,0.5495911836624146
50,0.5522119998931885
51,0.5475163459777832
52,0.5407094955444336
53,0.5323982238769531
54,0.5217146873474121
55,0.5238640308380127
56,0.5316793918609619
57,0.5365115404129028
58,0.5306893587112427
59,0.5221480131149292
60,0.509800910949707
61,0.4968482255935669
62,0.48767387866973877
63,0.47879457473754883
64,0.46675801277160645
65,0.4542809724807739
66,0.46363770961761475
67,0.511559247970581
68,0.5550044775009155
69,0.5720031261444092
70,0.5798071622848511
71,0.5762654542922974
72,0.5687683820724487
73,0.5608129501342773
74,0.5507880449295044
75,0.5365729331970215
76,0.5319708585739136
77,0.6216096878051758
78,0.7386225461959839
79,0.8463937044143677
80,0.9535300731658936
81,1.0754883289337158
82,1.186630129814148
83,1.2693774700164795
84,1.331561803817749
85,1.3905620574951172
86,1.4464950561523438
87,1.4965522289276123
88,1.5417224168777466
89,1.3678103685379028
90,0.7231307029724121
91,0.17646551132202148
92,-0.2800700068473816
93,-0.7094049453735352
94,-0.9462925791740417
95,-1.4207416772842407
96,-2.0099315643310547
97,-2.5497312545776367
98,-2.8797860145568848
99,-3.1226933002471924
100,-3.2908248901367188
