Epoch,Gini Coefficient
1,0.043478260869565216
2,0.0
3,1.0
4,1.0
5,0.5
6,1.0
7,1.0
8,0.0
9,1.0
10,0.42857142857142855
11,0.0
12,0.3333333333333333
13,1.0
14,1.0
15,0.3333333333333333
16,1.0
17,1.0
18,1.0
19,0.0
20,0.0
21,0.3333333333333333
22,1.0
23,0.0
24,0.0
25,1.0
26,0.3333333333333333
27,1.0
28,1.0
29,0.0
30,0.3333333333333333
31,0.0
32,1.0
33,1.0
34,1.0
35,1.0
36,0.5
37,0.3333333333333333
38,0.0
39,1.0
40,1.0
41,0.3333333333333333
42,0.3333333333333333
43,1.0
44,0.0
45,0.0
46,1.0
47,1.0
48,0.5
49,1.0
50,0.6666666666666666
51,0.0
52,1.0
53,1.0
54,0.0
55,1.0
56,0.0
57,0.2
58,1.0
59,1.0
60,1.0
61,1.0
62,0.0
63,0.3333333333333333
64,1.0
65,1.0
66,0.2
67,0.5
68,1.0
69,1.0
70,0.5
71,1.0
72,0.5
73,0.5
74,0.0
75,0.0
76,1.0
77,0.3333333333333333
78,1.0
79,1.0
80,0.0
81,0.2
82,1.0
83,1.0
84,1.0
85,1.0
86,0.2
87,0.0
88,1.0
89,1.0
90,1.0
91,1.0
92,1.0
93,1.0
94,0.0
95,0.3333333333333333
96,1.0
97,0.0
98,1.0
99,0.3333333333333333
100,1.0
101,0.0
102,0.0
103,0.3333333333333333
104,1.0
105,1.0
106,1.0
107,0.3333333333333333
108,0.0
109,1.0
110,1.0
111,1.0
112,1.0
113,0.3333333333333333
114,1.0
115,0.3333333333333333
116,0.0
117,0.5
118,0.0
119,0.0
120,0.0
121,1.0
122,1.0
123,0.5
124,0.3333333333333333
125,1.0
126,1.0
127,0.0
128,0.0
129,1.0
130,1.0
131,0.0
132,1.0
133,1.0
134,0.3333333333333333
135,1.0
136,1.0
137,1.0
138,0.3333333333333333
139,1.0
140,0.3333333333333333
141,1.0
142,0.0
143,1.0
144,0.0
145,1.0
146,1.0
147,0.3333333333333333
148,0.3333333333333333
149,0.3333333333333333
150,1.0
151,0.25
152,1.0
153,0.0
154,0.2
155,1.0
156,0.3333333333333333
157,0.0
158,0.3333333333333333
159,0.0
160,1.0
161,0.0
162,1.0
163,0.3333333333333333
164,1.0
165,0.0
166,0.0
167,1.0
168,0.3333333333333333
169,1.0
170,0.0
171,0.0
172,0.3333333333333333
173,0.0
174,0.3333333333333333
175,1.0
176,1.0
177,1.0
178,1.0
179,0.0
180,1.0
181,0.3333333333333333
182,0.0
183,0.2
184,1.0
185,1.0
186,0.5
187,0.3333333333333333
188,1.0
189,0.0
190,0.0
191,1.0
192,0.0
193,0.42857142857142855
194,1.0
195,1.0
196,0.3333333333333333
197,0.0
198,0.3333333333333333
199,0.3333333333333333
200,0.3333333333333333
