Epoch,Gini Coefficient
1,0.13043478260869565
2,0.058823529411764705
3,0.3333333333333333
4,0.0
5,0.0
6,0.2
7,1.0
8,0.0
9,1.0
10,0.5
11,0.0
12,1.0
13,0.3333333333333333
14,1.0
15,1.0
16,0.0
17,0.3333333333333333
18,0.6666666666666666
19,0.3333333333333333
20,0.3333333333333333
21,0.5
22,0.5
23,1.0
24,1.0
25,0.3333333333333333
26,0.0
27,0.3333333333333333
28,0.3333333333333333
29,0.3333333333333333
30,0.0
31,0.0
32,0.3333333333333333
33,0.3333333333333333
34,1.0
35,0.3333333333333333
36,1.0
37,1.0
38,0.0
39,0.0
40,1.0
41,1.0
42,1.0
43,0.3333333333333333
44,1.0
45,0.0
46,0.6
47,1.0
48,0.5
49,0.0
50,1.0
51,0.0
52,0.3333333333333333
53,0.3333333333333333
54,0.5
55,0.5
56,1.0
57,1.0
58,0.3333333333333333
59,0.0
60,0.0
61,0.0
62,1.0
63,0.2
64,0.3333333333333333
65,0.3333333333333333
66,1.0
67,1.0
68,0.0
69,0.0
70,0.5
71,1.0
72,1.0
73,1.0
74,1.0
75,0.3333333333333333
76,0.0
77,0.0
78,1.0
79,0.0
80,0.0
81,0.3333333333333333
82,0.0
83,0.0
84,0.0
85,0.3333333333333333
86,0.5
87,1.0
88,0.3333333333333333
89,0.0
90,0.0
91,1.0
92,0.0
93,0.3333333333333333
94,0.2
95,1.0
96,1.0
97,0.0
98,1.0
99,0.3333333333333333
100,0.0
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,1.0
107,1.0
108,0.5
109,0.3333333333333333
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,1.0
116,1.0
117,0.2
118,0.0
119,1.0
120,0.0
121,1.0
122,0.0
123,0.0
124,0.0
125,0.2
126,0.0
127,1.0
128,0.0
129,1.0
130,1.0
131,1.0
132,0.0
133,0.5
134,1.0
135,1.0
136,0.0
137,1.0
138,1.0
139,1.0
140,0.0
141,1.0
142,1.0
143,0.3333333333333333
144,0.3333333333333333
145,1.0
146,1.0
147,0.0
148,0.5
149,0.3333333333333333
150,1.0
151,0.3333333333333333
152,1.0
153,1.0
154,0.0
155,0.0
156,0.0
157,1.0
158,0.0
159,1.0
160,0.3333333333333333
161,0.2
162,0.3333333333333333
163,0.3333333333333333
164,0.3333333333333333
165,0.0
166,1.0
167,0.0
168,1.0
169,0.3333333333333333
170,1.0
171,1.0
172,0.0
173,0.0
174,0.0
175,1.0
176,1.0
177,0.0
178,0.0
179,0.0
180,1.0
181,1.0
182,1.0
183,1.0
184,0.42857142857142855
185,1.0
186,0.5
187,0.0
188,0.3333333333333333
189,0.5
190,1.0
191,0.3333333333333333
192,1.0
193,0.0
194,1.0
195,0.3333333333333333
196,0.3333333333333333
197,0.3333333333333333
198,0.5
199,1.0
200,0.0
