Epoch,Beta
1,-0.9511095285415649
2,-0.5388188362121582
3,-0.1295781135559082
4,0.2229750156402588
5,0.5274075269699097
6,0.754583477973938
7,1.0149389505386353
8,1.356460452079773
9,1.7201167345046997
10,2.0903337001800537
11,2.4481797218322754
12,2.7018184661865234
13,2.9724323749542236
14,3.138383626937866
15,3.230173110961914
16,3.30324649810791
17,3.346712589263916
18,3.369591236114502
19,3.3924179077148438
20,3.419346332550049
21,3.4366445541381836
22,3.4857022762298584
23,3.5240845680236816
24,3.5457420349121094
25,3.5570013523101807
26,3.560994863510132
27,3.5681204795837402
28,3.572272777557373
29,3.5786807537078857
30,3.5827600955963135
31,3.585498332977295
32,3.591916084289551
33,3.591965436935425
34,3.5945229530334473
35,3.5929906368255615
36,3.5896854400634766
37,3.588723659515381
38,3.594459295272827
39,3.621206283569336
40,3.6594648361206055
41,3.681123733520508
42,3.688626289367676
43,3.6893038749694824
44,3.691040277481079
45,3.6975784301757812
46,3.6995208263397217
47,3.699287176132202
48,3.694715976715088
49,3.6892223358154297
50,3.680854320526123
51,3.67173433303833
52,3.661928176879883
53,3.648397445678711
54,3.6324524879455566
55,3.6141133308410645
56,3.5937047004699707
57,3.5682225227355957
58,3.5408997535705566
59,3.5064263343811035
60,3.4677023887634277
61,3.419361114501953
62,3.3694803714752197
63,3.3143277168273926
64,3.242835521697998
65,3.1649584770202637
66,3.071833848953247
67,2.939873218536377
68,2.766421318054199
69,2.561619281768799
70,2.3418445587158203
71,2.112600326538086
72,1.8875378370285034
73,1.6806679964065552
74,1.5410852432250977
75,1.4875727891921997
76,1.473168134689331
77,1.474103331565857
78,1.4784890413284302
79,1.477842926979065
80,1.4493739604949951
81,1.3797903060913086
82,1.2414896488189697
83,1.0722547769546509
84,0.8891302347183228
85,0.7226425409317017
86,0.639263391494751
87,0.3701615333557129
88,-0.2167847752571106
89,-1.429312825202942
90,-2.2321372032165527
91,-2.223914861679077
92,-1.7982814311981201
93,-1.1051580905914307
94,-0.3301212191581726
95,0.350571870803833
96,0.743369460105896
97,0.9951311349868774
98,1.1120468378067017
99,1.1591702699661255
100,1.1697405576705933
