Epoch,Gini Coefficient
1,0.18181818181818182
2,0.6
3,0.2
4,1.0
5,1.0
6,0.0
7,1.0
8,0.5
9,1.0
10,1.0
11,1.0
12,1.0
13,0.0
14,0.6
15,0.3333333333333333
16,1.0
17,0.0
18,0.0
19,1.0
20,0.3333333333333333
21,0.3333333333333333
22,1.0
23,1.0
24,1.0
25,1.0
26,0.0
27,1.0
28,1.0
29,0.3333333333333333
30,1.0
31,0.2
32,0.0
33,0.3333333333333333
34,0.0
35,1.0
36,0.0
37,0.5
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,0.16666666666666666
46,0.0
47,1.0
48,1.0
49,0.0
50,0.0
51,1.0
52,1.0
53,0.2
54,0.3333333333333333
55,1.0
56,1.0
57,0.0
58,0.3333333333333333
59,1.0
60,1.0
61,1.0
62,1.0
63,1.0
64,0.0
65,0.3333333333333333
66,1.0
67,0.0
68,0.3333333333333333
69,1.0
70,1.0
71,1.0
72,1.0
73,0.0
74,1.0
75,1.0
76,0.0
77,0.3333333333333333
78,1.0
79,1.0
80,1.0
81,0.0
82,1.0
83,0.3333333333333333
84,1.0
85,1.0
86,1.0
87,0.3333333333333333
88,1.0
89,0.0
90,0.0
91,1.0
92,0.0
93,0.3333333333333333
94,1.0
95,1.0
96,1.0
97,1.0
98,1.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.3333333333333333
104,1.0
105,0.5
106,1.0
107,1.0
108,1.0
109,0.0
110,1.0
111,0.3333333333333333
112,0.0
113,0.0
114,1.0
115,0.0
116,1.0
117,1.0
118,1.0
119,1.0
120,1.0
121,0.0
122,0.0
123,0.3333333333333333
124,0.3333333333333333
125,1.0
126,1.0
127,0.0
128,0.3333333333333333
129,0.0
130,0.3333333333333333
131,1.0
132,0.0
133,1.0
134,0.0
135,1.0
136,0.5
137,0.0
138,0.0
139,0.0
140,1.0
141,0.0
142,0.0
143,0.5
144,1.0
145,0.3333333333333333
146,0.5
147,1.0
148,1.0
149,1.0
150,0.0
151,0.5
152,1.0
153,0.0
154,1.0
155,1.0
156,0.0
157,0.0
158,0.3333333333333333
159,0.0
160,0.5
161,0.0
162,1.0
163,1.0
164,1.0
165,1.0
166,1.0
167,0.3333333333333333
168,1.0
169,0.5
170,0.0
171,1.0
172,1.0
173,0.0
174,0.0
175,1.0
176,0.2
177,1.0
178,1.0
179,1.0
180,0.3333333333333333
181,0.5
182,1.0
183,0.3333333333333333
184,1.0
185,0.5
186,0.2
187,1.0
188,1.0
189,1.0
190,1.0
191,0.5
192,0.0
193,0.3333333333333333
194,1.0
195,1.0
196,1.0
197,1.0
198,1.0
199,0.5
200,1.0
