Epoch,Gini Coefficient
1,0.2
2,0.1111111111111111
3,0.0
4,0.4
5,1.0
6,0.0
7,1.0
8,0.0
9,1.0
10,1.0
11,0.0
12,1.0
13,0.0
14,0.0
15,0.25
16,1.0
17,0.0
18,1.0
19,1.0
20,1.0
21,0.3333333333333333
22,1.0
23,0.0
24,1.0
25,1.0
26,0.0
27,0.5
28,1.0
29,1.0
30,0.3333333333333333
31,0.0
32,1.0
33,0.5
34,1.0
35,0.0
36,0.0
37,0.0
38,0.3333333333333333
39,1.0
40,1.0
41,0.0
42,1.0
43,0.3333333333333333
44,1.0
45,0.2
46,1.0
47,0.3333333333333333
48,0.14285714285714285
49,0.0
50,0.0
51,0.2
52,1.0
53,1.0
54,0.0
55,1.0
56,0.0
57,0.0
58,1.0
59,1.0
60,1.0
61,0.0
62,0.0
63,0.0
64,0.0
65,1.0
66,1.0
67,1.0
68,1.0
69,0.3333333333333333
70,1.0
71,1.0
72,0.3333333333333333
73,0.5
74,1.0
75,0.5
76,1.0
77,1.0
78,0.3333333333333333
79,0.0
80,0.2
81,0.5
82,1.0
83,0.5
84,0.0
85,0.0
86,1.0
87,0.0
88,1.0
89,0.2
90,1.0
91,1.0
92,0.0
93,1.0
94,0.6
95,0.0
96,1.0
97,0.3333333333333333
98,1.0
99,0.0
100,1.0
101,0.0
102,0.0
103,1.0
104,0.0
105,0.3333333333333333
106,0.0
107,0.5
108,1.0
109,0.0
110,1.0
111,0.3333333333333333
112,0.0
113,1.0
114,0.0
115,1.0
116,0.0
117,0.5
118,1.0
119,1.0
120,0.0
121,1.0
122,1.0
123,1.0
124,0.3333333333333333
125,1.0
126,0.0
127,1.0
128,0.0
129,1.0
130,1.0
131,0.3333333333333333
132,1.0
133,0.0
134,1.0
135,0.3333333333333333
136,1.0
137,1.0
138,0.6
139,0.0
140,0.0
141,0.0
142,1.0
143,0.0
144,0.5
145,0.0
146,1.0
147,1.0
148,0.0
149,1.0
150,0.3333333333333333
151,1.0
152,0.0
153,1.0
154,1.0
155,0.0
156,1.0
157,0.0
158,0.0
159,0.0
160,1.0
161,1.0
162,0.5
163,0.5
164,0.5
165,0.0
166,0.0
167,0.3333333333333333
168,0.3333333333333333
169,0.0
170,1.0
171,0.3333333333333333
172,1.0
173,0.2
174,0.3333333333333333
175,0.0
176,0.5
177,1.0
178,1.0
179,0.3333333333333333
180,0.0
181,1.0
182,0.0
183,1.0
184,1.0
185,0.3333333333333333
186,0.0
187,0.0
188,0.0
189,0.3333333333333333
190,0.0
191,1.0
192,1.0
193,0.3333333333333333
194,1.0
195,0.0
196,0.0
197,0.0
198,0.5
199,0.3333333333333333
200,1.0
