Epoch,Gini Coefficient
1,0.3076923076923077
2,0.058823529411764705
3,0.2
4,0.0
5,0.3333333333333333
6,0.0
7,0.3333333333333333
8,0.6
9,1.0
10,0.5
11,0.0
12,0.3333333333333333
13,1.0
14,0.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,0.0
21,1.0
22,0.3333333333333333
23,0.0
24,0.3333333333333333
25,0.3333333333333333
26,0.6
27,0.0
28,1.0
29,1.0
30,0.5
31,0.0
32,1.0
33,1.0
34,0.0
35,1.0
36,1.0
37,0.0
38,0.5
39,1.0
40,0.3333333333333333
41,1.0
42,0.0
43,0.0
44,0.3333333333333333
45,1.0
46,1.0
47,1.0
48,0.3333333333333333
49,1.0
50,0.0
51,0.6
52,0.0
53,0.0
54,1.0
55,1.0
56,1.0
57,0.0
58,1.0
59,1.0
60,0.3333333333333333
61,0.5
62,0.6
63,0.0
64,0.0
65,0.0
66,1.0
67,0.0
68,1.0
69,1.0
70,1.0
71,0.3333333333333333
72,0.0
73,1.0
74,1.0
75,0.0
76,1.0
77,0.3333333333333333
78,1.0
79,1.0
80,1.0
81,1.0
82,0.0
83,0.0
84,0.3333333333333333
85,1.0
86,0.0
87,1.0
88,0.0
89,0.0
90,0.6
91,1.0
92,1.0
93,1.0
94,1.0
95,1.0
96,1.0
97,1.0
98,0.0
99,0.3333333333333333
100,0.3333333333333333
101,0.0
102,1.0
103,1.0
104,0.0
105,0.5
106,1.0
107,0.2
108,0.3333333333333333
109,1.0
110,1.0
111,0.3333333333333333
112,0.0
113,0.0
114,0.5
115,0.0
116,1.0
117,1.0
118,0.0
119,1.0
120,0.0
121,0.3333333333333333
122,1.0
123,0.0
124,1.0
125,0.0
126,0.42857142857142855
127,1.0
128,0.5
129,0.7142857142857143
130,0.0
131,0.0
132,1.0
133,0.3333333333333333
134,0.0
135,0.5
136,0.0
137,0.3333333333333333
138,0.5
139,0.2
140,0.6666666666666666
141,1.0
142,0.0
143,0.0
144,1.0
145,0.3333333333333333
146,0.0
147,1.0
148,0.0
149,1.0
150,0.0
151,1.0
152,0.3333333333333333
153,0.3333333333333333
154,1.0
155,0.14285714285714285
156,0.0
157,0.0
158,0.0
159,1.0
160,1.0
161,1.0
162,0.0
163,0.0
164,0.0
165,0.5
166,1.0
167,1.0
168,0.0
169,1.0
170,1.0
171,0.3333333333333333
172,0.2
173,0.0
174,0.0
175,0.3333333333333333
176,1.0
177,0.0
178,1.0
179,0.3333333333333333
180,1.0
181,1.0
182,1.0
183,0.0
184,1.0
185,0.3333333333333333
186,0.3333333333333333
187,0.0
188,1.0
189,0.0
190,0.0
191,1.0
192,1.0
193,0.0
194,0.0
195,0.0
196,0.3333333333333333
197,0.0
198,0.0
199,1.0
200,0.3333333333333333
