Epoch,Gini Coefficient
1,0.1
2,0.2
3,0.5
4,0.14285714285714285
5,0.3333333333333333
6,1.0
7,0.3333333333333333
8,0.3333333333333333
9,0.0
10,1.0
11,1.0
12,0.3333333333333333
13,0.0
14,1.0
15,0.3333333333333333
16,1.0
17,0.5
18,0.3333333333333333
19,1.0
20,0.3333333333333333
21,1.0
22,0.0
23,0.0
24,0.0
25,0.3333333333333333
26,0.0
27,1.0
28,1.0
29,0.3333333333333333
30,1.0
31,0.3333333333333333
32,0.0
33,0.6
34,0.3333333333333333
35,1.0
36,0.3333333333333333
37,0.0
38,0.3333333333333333
39,0.3333333333333333
40,0.0
41,1.0
42,0.0
43,0.0
44,0.0
45,0.1111111111111111
46,1.0
47,0.0
48,1.0
49,1.0
50,1.0
51,0.6
52,0.0
53,1.0
54,0.5
55,0.0
56,0.3333333333333333
57,1.0
58,0.0
59,0.0
60,0.0
61,0.0
62,1.0
63,0.3333333333333333
64,0.2
65,0.0
66,0.0
67,0.0
68,0.0
69,0.3333333333333333
70,1.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.3333333333333333
79,0.0
80,0.5
81,1.0
82,0.3333333333333333
83,1.0
84,0.0
85,0.0
86,0.0
87,1.0
88,1.0
89,0.0
90,0.3333333333333333
91,0.0
92,1.0
93,1.0
94,0.0
95,1.0
96,1.0
97,0.42857142857142855
98,0.0
99,1.0
100,0.3333333333333333
101,1.0
102,1.0
103,1.0
104,1.0
105,1.0
106,0.0
107,1.0
108,0.0
109,1.0
110,0.2
111,0.3333333333333333
112,1.0
113,0.3333333333333333
114,1.0
115,0.3333333333333333
116,1.0
117,0.3333333333333333
118,1.0
119,0.0
120,1.0
121,0.3333333333333333
122,0.0
123,0.3333333333333333
124,1.0
125,0.0
126,1.0
127,1.0
128,1.0
129,1.0
130,1.0
131,1.0
132,1.0
133,0.3333333333333333
134,0.0
135,0.0
136,0.0
137,0.0
138,0.3333333333333333
139,0.0
140,1.0
141,0.0
142,0.0
143,1.0
144,1.0
145,1.0
146,0.3333333333333333
147,0.0
148,1.0
149,1.0
150,1.0
151,0.0
152,0.0
153,1.0
154,1.0
155,0.0
156,0.0
157,1.0
158,1.0
159,0.3333333333333333
160,0.0
161,0.0
162,0.0
163,0.0
164,0.5
165,0.3333333333333333
166,0.5
167,1.0
168,1.0
169,0.5
170,0.0
171,1.0
172,1.0
173,1.0
174,1.0
175,1.0
176,0.3333333333333333
177,0.3333333333333333
178,1.0
179,0.0
180,1.0
181,1.0
182,1.0
183,0.3333333333333333
184,0.5
185,0.3333333333333333
186,1.0
187,1.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,1.0
195,0.0
196,1.0
197,0.0
198,0.3333333333333333
199,0.0
200,1.0
